idx,count
0,9
1,12
2,10
3,16
4,12
5,12
6,10
7,12
8,5
9,6
10,12
11,11
12,10
13,6
14,14
15,16
16,14
17,9
18,7
19,10
20,12
21,6
22,12
23,13
24,7
25,11
26,10
27,11
28,11
29,11
30,13
31,3
32,7
33,3
34,14
35,13
36,12
37,13
38,11
39,12
40,9
41,9
42,13
43,11
44,12
45,12
46,14
47,10
48,11
49,16
50,21
51,14
52,15
53,11
54,17
55,15
56,7
57,10
58,9
59,5
60,12
61,15
62,14
63,10
64,9
65,11
66,12
67,12
68,13
69,12
70,17
71,18
72,8
73,14
74,14
75,6
76,10
77,6
78,15
79,9
80,9
81,6
82,11
83,20
84,15
85,10
86,9
87,12
88,7
89,9
90,12
91,7
92,10
93,7
94,9
95,16
96,9
97,7
98,12
99,11
100,13
101,11
102,16
103,21
104,10
105,10
106,11
107,8
108,9
109,9
110,12
111,11
112,6
113,9
114,9
115,12
116,12
117,21
118,7
119,17
120,8
121,8
122,9
123,9
124,9
125,9
126,8
127,21
128,10
129,9
130,7
131,11
132,12
133,16
134,23
135,11
136,8
137,11
138,13
139,10
140,13
141,12
142,8
143,8
144,13
145,8
146,5
147,5
148,11
149,12
150,17
151,7
152,6
153,11
154,13
155,11
156,12
157,10
158,12
159,11
160,7
161,11
162,13
163,12
164,14
165,12
166,17
167,12
168,11
169,14
170,7
171,13
172,7
173,8
174,10
175,9
176,8
177,8
178,15
179,10
180,7
181,8
182,20
183,12
184,9
185,10
186,11
187,12
188,10
189,8
190,19
191,6
192,9
193,10
194,9
195,13
196,16
197,12
198,11
199,18
200,8
201,11
202,8
203,12
204,6
205,5
206,7
207,12
208,8
209,8
210,9
211,12
212,10
213,14
214,13
215,18
216,5
217,4
218,6
219,4
220,10
221,13
222,8
223,16
224,18
225,9
226,8
227,11
228,12
229,10
230,12
231,19
232,13
233,18
234,10
235,11
236,4
237,6
238,16
239,15
240,10
241,11
242,9
243,10
244,15
245,17
246,8
247,12
248,9
249,5
250,6
251,4
252,13
253,9
254,8
255,5
256,12
257,20
258,13
259,9
260,13
261,7
262,7
263,15
264,5
265,14
266,9
267,10
268,5
269,12
270,10
271,9
272,8
273,14
274,12
275,11
276,12
277,18
278,14
279,12
280,7
281,8
282,7
283,10
284,10
285,7
286,10
287,9
288,16
289,19
290,14
291,7
292,3
293,12
294,21
295,10
296,13
297,7
298,11
299,8
300,9
301,11
302,12
303,5
304,13
305,16
306,13
307,8
308,14
309,17
310,8
311,12
312,11
313,11
314,9
315,18
316,8
317,7
318,10
319,4
320,11
321,9
322,16
323,13
324,9
325,15
326,12
327,17
328,6
329,9
330,6
331,5
332,10
333,14
334,8
335,15
336,11
337,12
338,8
339,15
340,12
341,14
342,12
343,15
344,7
345,11
346,4
347,9
348,7
349,7
350,10
351,20
352,12
353,7
354,12
355,12
356,7
357,7
358,10
359,11
360,5
361,5
362,7
363,6
364,5
365,6
366,5
367,12
368,11
369,7
370,7
371,11
372,17
373,12
374,7
375,19
376,7
377,7
378,10
379,12
380,12
381,5
382,13
383,8
384,7
385,12
386,16
387,13
388,7
389,9
390,12
391,17
392,7
393,13
394,10
395,5
396,12
397,19
398,14
399,6
400,8
401,10
402,14
