idx,count
0,991
1,929
2,970
3,966
4,920
5,957
6,885
7,982
8,970
9,945
10,928
11,966
12,961
13,942
14,961
15,1026
16,1031
17,994
18,976
19,1034
20,950
21,921
22,963
23,999
24,979
25,1005
26,960
27,916
28,965
29,978
30,961
31,1001
32,1028
33,1041
34,1045
35,994
36,1019
37,1000
38,1063
39,1091
40,1059
41,1057
42,1039
43,1013
44,1026
45,1005
46,1069
47,1013
48,1154
49,1021
50,1011
51,1013
52,952
53,980
54,1045
55,1031
56,1113
57,1064
58,1055
59,1055
60,1028
61,1003
62,1089
63,1106
64,1012
65,904
66,941
67,929
68,958
69,935
70,944
71,952
72,1005
73,949
74,984
75,921
76,981
77,969
78,979
79,981
80,1109
81,1056
82,1016
83,1012
84,1005
85,1046
86,1016
87,1042
88,1063
89,1060
90,1041
91,987
92,1024
93,1076
94,1043
95,1130
96,1063
97,969
98,988
99,980
100,919
101,955
102,959
103,1045
104,1066
105,1073
106,968
107,997
108,954
109,978
110,983
111,985
112,1046
113,921
114,973
115,937
116,900
117,965
118,917
119,1043
120,1034
121,1019
122,953
123,960
124,948
125,960
126,957
127,968
128,955
129,1016
130,908
131,994
132,932
133,890
134,950
135,967
136,1011
137,930
138,954
139,897
140,957
141,927
142,940
143,1007
144,1010
145,995
146,967
147,959
148,985
149,943
150,1009
151,993
152,1033
153,978
154,952
155,980
156,976
157,970
158,991
159,1041
160,1074
161,1011
162,1044
163,961
164,1024
165,963
166,1018
167,1021
168,1096
169,1016
170,1046
171,1025
172,997
173,1070
174,1017
175,989
176,1045
177,1025
178,1072
179,1041
180,1001
181,1073
182,1034
183,1052
184,1126
185,1041
186,1092
187,1026
188,1075
189,1056
190,1036
191,1072
192,974
193,990
194,957
195,969
196,878
197,954
198,880
199,965
200,990
201,975
202,968
203,980
204,991
205,1044
206,964
207,1026
208,889
209,969
210,938
211,979
212,954
213,953
214,913
215,991
216,970
217,975
218,998
219,1000
220,962
221,953
222,960
223,990
224,1038
225,984
226,1046
227,978
228,1027
229,989
230,1035
231,1026
232,1083
233,1028
234,993
235,1011
236,1025
237,1007
238,968
239,1073
240,1036
241,982
242,1045
243,936
244,973
245,958
246,987
247,1018
248,1067
249,1030
250,1071
251,1000
252,1015
253,1004
254,1055
255,1039
256,1048
257,957
258,1006
259,1039
260,1018
261,1028
262,972
263,1079
264,1142
265,1070
266,1009
267,1013
268,1011
269,1056
270,1058
271,1038
272,994
273,1011
274,911
275,1072
276,969
277,966
278,984
279,984
280,1039
281,997
282,955
283,1076
284,976
285,1041
286,989
287,1019
288,1151
289,1051
290,1057
291,1119
292,1041
293,1099
294,1089
295,1087
296,1144
297,1074
298,1066
299,1078
300,1059
301,1075
302,1178
303,1126
304,1088
305,1068
306,1081
307,1036
308,1073
309,1073
310,1005
311,1106
312,1114
313,1131
314,1065
315,1041
316,1076
317,1026
318,1087
319,1133
320,984
321,1011
322,931
323,1001
324,970
325,1016
326,992
327,1021
328,1013
329,977
330,1037
331,998
332,963
333,1017
334,961
335,1027
336,981
337,1006
338,974
339,957
340,951
341,975
342,952
343,1018
344,1016
345,1023
346,1045
347,1071
348,1029
349,997
350,1008
351,1027
352,1052
353,1035
354,1044
355,960
356,986
357,972
358,1023
359,1047
360,1090
361,1065
362,1063
363,988
364,1036
365,996
366,1046
367,1078
368,1082
369,989
370,1000
371,941
372,987
373,970
374,1013
375,1060
376,1061
377,985
378,1085
379,1014
380,1024
381,1005
382,1032
383,1066
384,1036
385,1046
386,1031
387,1008
388,948
389,947
390,1063
391,973
392,1061
393,1107
394,1042
395,991
396,983
397,1028
398,1005
399,1075
400,1128
401,1021
402,995
403,982
404,960
405,1020
406,1000
407,1036
408,1116
409,1040
410,1066
411,1066
412,986
413,1043
414,1039
415,1073
416,1132
417,1063
418,1074
419,1040
420,1036
421,1042
422,1052
423,1119
424,1135
425,1031
426,1075
427,1087
428,1070
429,1089
430,1091
431,1107
432,1165
433,1131
434,1052
435,1079
436,1114
437,1144
438,1072
439,1083
440,1146
441,1120
442,1092
443,1149
444,1143
445,1104
446,1101
447,1194
448,1038
449,1085
450,994
451,997
452,999
453,1040
454,1042
455,1038
456,1076
457,1072
458,1078
459,1019
460,1021
461,1062
462,1007
463,1058
464,1041
465,958
466,993
467,969
468,1014
469,986
470,1052
471,1069
472,1093
473,1001
474,1024
475,1024
476,1006
477,983
478,1023
479,1054
480,1127
481,1043
482,1115
483,1007
484,1018
485,1028
486,1019
487,1152
488,1146
489,1091
490,1084
491,1053
492,1012
493,1039
494,1074
495,1012
496,1097
497,1033
498,1045
499,1044
500,1011
501,1010
502,1049
503,1022
504,1133
505,1054
506,1052
507,1093
508,1068
509,1034
510,1059
511,1128
512,1117
513,1017
514,1052
515,1047
516,974
517,1071
518,1009
519,1013
520,1103
521,1099
522,1103
523,1108
524,1023
525,1035
526,1050
527,1071
528,1037
529,995
530,959
531,1038
532,998
533,1019
534,993
535,1016
536,1077
537,1106
538,988
539,979
540,1076
541,1076
542,1101
543,1011
544,1105
545,1092
546,1094
547,1141
548,1102
549,1064
550,1072
551,1130
552,1207
553,1201
554,1166
555,1129
556,1083
557,1190
558,1147
559,1125
560,1099
561,1078
562,1101
563,1067
564,1128
565,1097
566,1079
567,1098
568,1164
569,1151
570,1065
571,1074
572,1099
573,1118
574,1146
575,1076
576,1085
577,1001
578,997
579,989
580,1000
581,949
582,1025
583,1012
584,1103
585,1071
586,1084
587,989
588,1038
589,952
590,1029
591,1067
592,1053
593,1025
594,1054
595,1007
596,1068
597,1053
598,1060
599,1073
600,1102
601,1038
602,1082
603,1006
604,1038
605,1052
606,1067
607,1089
608,1045
609,1024
610,1034
611,1066
612,1074
613,990
614,1062
615,1071
616,1127
617,1075
618,1103
619,1097
620,1056
621,1096
622,1040
623,1038
624,1141
625,1037
626,1079
627,1025
628,1093
629,1045
630,1029
631,1116
632,1168
633,1047
634,1088
635,1085
636,1099
637,1099
638,1134
639,1077
640,1130
641,1056
642,1042
643,989
644,1081
645,1009
646,1033
647,1027
648,1077
649,967
650,1078
651,980
652,1045
653,1053
654,1088
655,1090
656,1098
657,1029
658,1020
659,1045
660,981
661,1046
662,1012
663,1102
664,1152
665,1059
666,1094
667,1083
668,1025
669,1014
670,974
671,1099
672,1139
673,1082
674,1052
675,1035
676,1054
677,1098
678,1104
679,1082
680,1135
681,1125
682,1098
683,1150
684,1125
685,1126
686,1087
687,1109
688,1184
689,1105
690,1090
691,1132
692,1164
693,1138
694,1101
695,1171
696,1267
697,1133
698,1160
699,1105
700,1111
701,1161
702,1134
703,1203
704,1063
705,1051
706,1039
707,997
708,1013
709,1018
710,1012
711,1018
712,1101
713,1057
714,1027
715,1098
716,1032
717,1046
718,1040
719,1091
720,1031
721,976
722,954
723,958
724,997
725,957
