idx,count
0,354
1,312
2,286
3,337
4,286
5,334
6,270
7,342
8,330
9,345
10,301
11,334
12,340
13,348
14,362
15,327
16,379
17,334
18,328
19,355
20,324
21,318
22,336
23,350
24,356
25,342
26,325
27,364
28,299
29,357
30,348
31,341
32,374
33,331
34,388
35,351
36,360
37,355
38,382
39,383
40,418
41,389
42,363
43,376
44,374
45,354
46,368
47,329
48,442
49,338
50,338
51,359
52,356
53,362
54,346
55,330
56,431
57,351
58,377
59,344
60,354
61,364
62,370
63,345
64,352
65,279
66,321
67,304
68,326
69,289
70,317
71,325
72,344
73,360
74,328
75,329
76,326
77,355
78,330
79,354
80,397
81,378
82,356
83,354
84,363
85,353
86,362
87,377
88,387
89,370
90,372
91,358
92,343
93,373
94,357
95,364
96,373
97,315
98,346
99,336
100,307
101,322
102,333
103,315
104,375
105,327
106,308
107,317
108,342
109,362
110,343
111,321
112,387
113,321
114,321
115,347
116,310
117,308
118,299
119,338
120,365
121,351
122,326
123,303
124,316
125,307
126,343
127,341
128,322
129,311
130,304
131,305
132,302
133,294
134,357
135,335
136,340
137,342
138,338
139,302
140,313
141,304
142,302
143,339
144,353
145,364
146,308
147,313
148,349
149,318
150,314
151,299
152,373
153,343
154,321
155,323
156,328
157,321
158,346
159,358
160,406
161,365
162,367
163,341
164,353
165,376
166,383
167,371
168,433
169,376
170,327
171,336
172,342
173,371
174,349
175,397
176,380
177,350
178,383
179,365
180,353
181,381
182,377
183,401
184,418
185,329
186,352
187,361
188,422
189,387
190,388
191,374
192,333
193,296
194,341
195,275
196,291
197,276
198,311
199,317
200,335
201,294
202,330
203,322
204,351
205,342
206,326
207,337
208,316
209,337
210,322
211,311
212,320
213,320
214,328
215,337
216,321
217,351
218,342
219,314
220,306
221,297
222,306
223,340
224,369
225,338
226,356
227,335
228,362
229,319
230,367
231,346
232,400
233,342
234,346
235,374
236,313
237,371
238,340
239,360
240,352
241,330
242,373
243,353
244,329
245,328
246,354
247,362
248,374
249,360
250,374
251,329
252,359
253,333
254,359
255,348
256,369
257,331
258,349
259,360
260,345
261,332
262,331
263,347
264,397
265,317
266,366
267,332
268,342
269,351
270,364
271,358
272,335
273,307
274,270
275,359
276,312
277,325
278,308
279,335
280,376
281,319
282,327
283,348
284,326
285,335
286,326
287,359
288,428
289,418
290,399
291,364
292,361
293,385
294,376
295,433
296,425
297,387
298,364
299,371
300,358
301,400
302,444
303,365
304,388
305,357
306,397
307,318
308,390
309,404
310,361
311,387
312,434
313,383
314,380
315,398
316,409
317,394
318,381
319,401
320,352
321,322
322,322
323,323
324,332
325,353
326,348
327,321
328,371
329,329
330,382
331,370
332,314
333,369
334,344
335,336
336,323
337,297
338,342
339,326
340,338
341,342
342,320
343,345
344,342
345,360
346,344
347,323
348,355
349,364
350,346
351,382
352,408
353,361
354,376
355,362
356,339
357,332
358,359
359,363
360,412
361,356
362,365
363,379
364,348
365,348
366,384
367,380
368,414
369,315
370,340
371,371
372,344
373,360
374,382
375,353
376,359
377,407
378,397
379,379
380,352
381,361
382,382
383,429
384,383
385,334
386,331
387,341
388,302
389,334
390,344
391,312
392,353
393,350
394,362
395,322
396,350
397,336
398,356
399,363
400,406
401,341
402,344
403,348
404,312
405,376
406,335
407,381
408,372
409,332
410,361
411,307
412,312
413,399
414,322
415,374
416,412
417,377
418,393
419,385
420,399
421,384
422,376
423,368
424,422
425,373
426,400
427,362
428,395
429,377
430,397
431,426
432,422
433,410
434,376
435,417
436,406
437,361
438,376
439,411
440,445
441,419
442,393
443,386
444,413
445,398
446,409
447,423
448,344
449,344
450,359
451,318
452,348
453,332
454,362
455,374
456,362
457,344
458,346
459,354
460,348
461,377
462,347
463,327
464,328
465,338
466,326
467,338
468,363
469,323
470,353
471,351
472,375
473,356
474,363
475,300
476,338
477,373
478,329
479,342
480,421
481,361
482,386
483,322
484,355
485,374
486,377
487,374
488,413
489,385
490,378
491,399
492,352
493,403
494,410
495,437
496,384
497,362
498,360
499,327
500,350
501,373
502,371
503,371
504,395
505,421
506,378
507,351
508,363
509,370
510,365
511,351
512,385
513,336
514,369
515,353
516,355
517,340
518,356
519,368
520,398
521,338
522,357
523,360
524,359
525,366
526,340
527,403
528,383
529,350
530,334
531,339
532,314
533,351
534,367
535,365
536,378
537,355
538,354
539,303
540,388
541,358
542,353
543,356
544,447
545,392
546,396
547,363
548,431
549,390
550,395
551,413
552,472
553,415
554,437
555,390
556,422
557,449
558,419
559,407
560,401
561,368
562,417
563,392
564,427
565,364
566,400
567,392
568,473
569,378
570,374
571,400
572,398
573,396
574,436
575,404
576,392
577,335
578,355
579,319
580,334
581,358
582,369
583,372
584,399
585,388
586,367
587,373
588,336
