idx,count
0,22
1,25
2,13
3,17
4,13
5,15
6,17
7,21
8,24
9,24
10,16
11,21
12,26
13,18
14,21
15,22
16,21
17,20
18,18
19,16
20,11
21,14
22,23
23,17
24,22
25,22
26,14
27,17
28,13
29,20
30,13
31,13
32,32
33,24
34,15
35,15
36,21
37,26
38,29
39,18
40,24
41,21
42,19
43,19
44,18
45,19
46,24
47,22
48,22
49,17
50,14
51,19
52,21
53,18
54,10
55,23
56,26
57,24
58,17
59,17
60,18
61,31
62,13
63,22
64,18
65,13
66,15
67,14
68,23
69,13
70,17
71,17
72,22
73,15
74,14
75,21
76,15
77,20
78,12
79,20
80,23
81,20
82,16
83,21
84,17
85,23
86,13
87,24
88,25
89,22
90,18
91,22
92,15
93,20
94,8
95,23
96,15
97,21
98,19
99,12
100,21
101,21
102,20
103,21
104,21
105,17
106,21
107,16
108,26
109,13
110,18
111,19
112,19
113,13
114,15
115,20
116,12
117,23
118,13
119,20
120,24
121,24
122,25
123,16
124,16
125,18
126,21
127,19
128,12
129,10
130,20
131,14
132,18
133,16
134,13
135,13
136,16
137,20
138,22
139,19
140,14
141,16
142,16
143,13
144,16
145,29
146,18
147,17
148,17
149,12
150,12
151,23
152,22
153,12
154,16
155,20
156,24
157,12
158,23
159,15
160,21
161,13
162,20
163,19
164,11
165,22
166,10
167,15
168,23
169,15
170,18
171,22
172,16
173,13
174,12
175,20
176,18
177,14
178,15
179,23
180,20
181,26
182,19
183,20
184,33
185,23
186,23
187,26
188,24
189,26
190,27
191,19
192,23
193,22
194,12
195,19
196,10
197,16
198,14
199,13
200,18
201,20
202,19
203,17
204,14
205,17
206,13
207,13
208,23
209,12
210,18
211,20
212,16
213,16
214,16
215,23
216,23
217,17
218,17
219,30
220,19
221,19
222,12
223,16
224,29
225,18
226,24
227,10
228,18
229,19
230,17
231,10
232,27
233,18
234,18
235,15
236,11
237,13
238,12
239,23
240,17
241,15
242,12
243,17
244,19
245,14
246,20
247,16
248,26
249,17
250,12
251,17
252,19
253,14
254,12
255,20
256,18
257,18
258,26
259,24
260,19
261,19
262,24
263,18
264,19
265,22
266,21
267,16
268,22
269,22
270,24
271,15
272,15
273,19
274,15
275,23
276,8
277,16
278,16
279,26
280,20
281,14
282,21
283,16
